x y pred
1.1500 0.3000 0.7718
1.2000 0.3000 0.7624
-0.2000 0.3500 0.2895
-0.1500 0.3500 0.3123
-0.1000 0.3500 0.3359
-0.0500 0.3500 0.3601
-0.0000 0.3500 0.3850
0.0500 0.3500 0.4103
0.1000 0.3500 0.4359
0.1500 0.3500 0.4617
0.2000 0.3500 0.4875
0.2500 0.3500 0.5130
0.3000 0.3500 0.5380
0.3500 0.3500 0.5625
0.4000 0.3500 0.5861
0.4500 0.3500 0.6086
0.5000 0.3500 0.6298
0.5500 0.3500 0.6495
0.6000 0.3500 0.6676
0.6500 0.3500 0.6837
0.7000 0.3500 0.6978
0.7500 0.3500 0.7096
0.8000 0.3500 0.7190
0.8500 0.3500 0.7260
0.9000 0.3500 0.7304
0.9500 0.3500 0.7321
1.0000 0.3500 0.7312
1.0500 0.3500 0.7276
1.1000 0.3500 0.7213
1.1500 0.3500 0.7125
1.2000 0.3500 0.7011
-0.2000 0.4000 0.3599
-0.1500 0.4000 0.3809
-0.1000 0.4000 0.4022
-0.0500 0.4000 0.4236
-0.0000 0.4000 0.4451
0.0500 0.4000 0.4665
0.1000 0.4000 0.4877
0.1500 0.4000 0.5086
0.2000 0.4000 0.5290
0.2500 0.4000 0.5488
0.3000 0.4000 0.5679
0.3500 0.4000 0.5861
0.4000 0.4000 0.6032
0.4500 0.4000 0.6191
0.5000 0.4000 0.6336
0.5500 0.4000 0.6466
0.6000 0.4000 0.6580
0.6500 0.4000 0.6676
0.7000 0.4000 0.6753
0.7500 0.4000 0.6810
0.8000 0.4000 0.6847
0.8500 0.4000 0.6863
0.9000 0.4000 0.6856
0.9500 0.4000 0.6828
1.0000 0.4000 0.6778
1.0500 0.4000 0.6706
1.1000 0.4000 0.6613
1.1500 0.4000 0.6500
1.2000 0.4000 0.6367
-0.2000 0.4500 0.4305
-0.1500 0.4500 0.4497
-0.1000 0.4500 0.4685
-0.0500 0.4500 0.4870
-0.0000 0.4500 0.5050
0.0500 0.4500 0.5223
0.1000 0.4500 0.5390
0.1500 0.4500 0.5549
0.2000 0.4500 0.5699
0.2500 0.4500 0.5839
0.3000 0.4500 0.5968
0.3500 0.4500 0.6086
0.4000 0.4500 0.6191
0.4500 0.4500 0.6282
0.5000 0.4500 0.6359
0.5500 0.4500 0.6420
0.6000 0.4500 0.6466
0.6500 0.4500 0.6495
0.7000 0.4500 0.6508
0.7500 0.4500 0.6504
0.8000 0.4500 0.6482
0.8500 0.4500 0.6442
0.9000 0.4500 0.6385
0.9500 0.4500 0.6311
1.0000 0.4500 0.6219
1.0500 0.4500 0.6112
1.1000 0.4500 0.5988
1.1500 0.4500 0.5849
1.2000 0.4500 0.5696
-0.2000 0.5000 0.5007
-0.1500 0.5000 0.5179
-0.1000 0.5000 0.5343
-0.0500 0.5000 0.5497
-0.0000 0.5000 0.5641
0.0500 0.5000 0.5774
